Source_Name,z_best,Size,angular_size,L_144,Mass_median,flag_mass,fri,frii,hybrid,spiral,relaxed,cshaped,sshaped,misaligned,wings,xshaped,straight,multihotspots,continuous,banding,onesided,restarted,cluster,merger,diffuse,unknown,featurecount,hasanyone,hasanytwo,hasall,has_exactly_1,has_exactly_2,se,ms,em
ILTJ000628.09+252308.4,0.8227357,445.6660299414641,58.80240907213898,5.615797814810209e+27,11.029211044311523,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000632.70+170024.8,0.2648681,341.37967756220104,83.70282694730302,4.260231182201025e+25,11.401593208312988,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
ILTJ000706.35+250400.4,1.018235,2647.553241805216,329.2020521211057,3.3441002128889656e+26,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000715.82+321739.2,0.3036515712738037,386.148595690601,85.96999746608648,6.387203883376344e+25,11.59645652770996,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,4,True,False,False,True,False,False,False,False
ILTJ000721.12+234740.6,1.083372,643.032765596998,78.90990808162523,8.528885116353134e+26,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
ILTJ000728.23+281419.1,1.058725,762.2911745225365,93.98244425453537,5.013204774938632e+27,10.577157020568848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
ILTJ000728.67+210506.0,0.6638985,640.5073578912525,91.60493198285354,1.486247513616681e+26,11.385231971740724,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000746.51+325721.9,0.4738272428512573,479.37613468868034,80.85744141963238,8.983498906398002e+25,11.292226791381836,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000803.83+225550.4,0.7164118885993958,1721.34932888319,238.6932477135591,2.431939920802875e+26,11.189098358154297,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000811.07+260206.6,0.1960141,371.6493542383755,114.4277272293133,9.311556934225074e+24,11.07932949066162,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False
ILTJ000811.31+350217.8,0.1450022608041763,191.2138364329912,75.23864947716989,3.1652837155199417e+25,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ000828.03+334630.7,0.8808039,795.9393468029494,102.80458112368328,5.02187397564642e+26,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000853.93+224004.8,0.6930166482925415,630.1893336587232,88.54512748312497,3.539042558236572e+26,11.33385181427002,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000907.70+253121.1,0.5690955,487.2087399895445,74.72555796289618,2.841432924157793e+26,10.866808891296388,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ000915.95+290924.7,0.3233283162117004,425.9192622822631,90.8587594609102,4.145686638316008e+25,11.751285552978516,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False,False,False,False,False
ILTJ000934.27+183819.3,0.5630357265472412,554.8741896745216,85.54813714370982,2.4883345746211483e+26,11.37029266357422,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ000936.66+312643.5,1.054721,1077.5441560852064,132.95526350793708,4.077045156345298e+26,11.247794151306152,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
ILTJ000951.19+334043.1,0.53399258852005,869.332763772201,137.61747181111772,1.4339660323507978e+26,,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ001013.27+241728.7,0.3653385,1468.2119187543935,289.13542758201504,6.719499152516198e+25,11.26103687286377,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
ILTJ001025.52+332942.4,0.7419999837875366,671.9454263221523,91.9352226721817,8.517264526589167e+27,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001031.12+275616.9,0.1866872310638427,432.8562470904924,138.5184422895453,1.9667671467109537e+25,11.36338710784912,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001031.84+200420.1,1.052493,250.1891207454242,30.88392801424619,9.139882749883228e+26,11.327786445617676,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001032.11+185428.5,0.1391683518886566,540.5028323628484,220.15007373692967,3.590693878974516e+25,,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,4,True,False,False,True,False,False,False,False
ILTJ001052.98+221139.4,0.4782619,454.0986686752333,76.20193667733334,2.0098853943498897e+26,9.626398086547852,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001121.28+321638.8,0.1071381196379661,693.0525477509698,353.623868020227,2.184988040764739e+25,,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,7,True,True,False,False,True,False,False,True
ILTJ001122.69+223137.5,0.9129592,458.18931088061504,58.57194795414466,3.598287010639565e+27,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001132.45+273730.9,0.7146561145782471,1016.0067954369237,141.02093846686,2.4578193520785472e+26,11.351178169250488,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,True,False,False,True,False,False,False,False
