filename,field,crop_index,p_low,p_high,source_count
Bullet_aFix_pol_I_Farcsec_5pln_cor_crop_0138.npy,Bullet_aFix_pol_I_Farcsec_5pln_cor,138,-1.5211503523460124e-05,4.380349491839297e-05,
Abell_2813_noFix_pol_I_Farcsec_5pln_cor_crop_0187.npy,Abell_2813_noFix_pol_I_Farcsec_5pln_cor,187,-2.1553638362092897e-05,4.1060964576900005e-05,
Abell_3376_aFix_pol_I_Farcsec_5pln_cor_crop_0041.npy,Abell_3376_aFix_pol_I_Farcsec_5pln_cor,41,-1.6748330381233245e-05,4.895990059594624e-05,
J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor_crop_0020.npy,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor,20,-2.258976564917248e-05,4.054370947415009e-05,
RXCJ2351.0-19_noFix_pol_I_Farcsec_5pln_cor_crop_0027.npy,RXCJ2351.0-19_noFix_pol_I_Farcsec_5pln_cor,27,-1.7816319086705334e-05,4.150596214458346e-05,
J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor_crop_0132.npy,J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor,132,-2.286754715896677e-05,4.3426152842585e-05,
Abell_194_aFix_pol_I_Farcsec_5pln_cor_crop_0121.npy,Abell_194_aFix_pol_I_Farcsec_5pln_cor,121,-3.945245043723844e-05,0.0001343678013654,
Abell_85_aFix_pol_I_Farcsec_5pln_cor_crop_0164.npy,Abell_85_aFix_pol_I_Farcsec_5pln_cor,164,-1.6969566786428913e-05,4.114058901905082e-05,
Bullet_aFix_pol_I_Farcsec_5pln_cor_crop_0039.npy,Bullet_aFix_pol_I_Farcsec_5pln_cor,39,-1.5211503523460124e-05,4.380349491839297e-05,
Abell_370_afix_pol_I_Farcsec_5pln_cor_crop_0136.npy,Abell_370_afix_pol_I_Farcsec_5pln_cor,136,-3.905647463398054e-05,5.590072396444157e-05,
J0303.7-7752_aFix_pol_I_Farcsec_5pln_cor_crop_0195.npy,J0303.7-7752_aFix_pol_I_Farcsec_5pln_cor,195,-1.6216928997891955e-05,3.944924537790939e-05,
Bullet_aFix_pol_I_Farcsec_5pln_cor_crop_0075.npy,Bullet_aFix_pol_I_Farcsec_5pln_cor,75,-1.5211503523460124e-05,4.380349491839297e-05,
J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor_crop_0171.npy,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor,171,-1.6526179024367593e-05,4.097030614502728e-05,
Abell_168_aFix_pol_I_Farcsec_5pln_cor_crop_0060.npy,Abell_168_aFix_pol_I_Farcsec_5pln_cor,60,-2.51656529144384e-05,4.1941199015127495e-05,
J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor_crop_0087.npy,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor,87,-1.3090567335893866e-05,3.692142854561098e-05,
J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor_crop_0006.npy,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor,6,-2.326385947526433e-05,4.042817090521567e-05,
J0145.0-5300_aFix_pol_I_Farcsec_5pln_cor_crop_0179.npy,J0145.0-5300_aFix_pol_I_Farcsec_5pln_cor,179,-1.4464765627053566e-05,3.505407221382484e-05,
J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor_crop_0014.npy,J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor,14,-1.893065564217977e-05,4.2162908357568085e-05,
MACS_J0257.6-2209_noFix_pol_I_Farcsec_5pln_cor_crop_0025.npy,MACS_J0257.6-2209_noFix_pol_I_Farcsec_5pln_cor,25,-2.3381955543300137e-05,4.110854570171796e-05,
